央视▪全网,#genre#
广西 Ⅰ 岑溪电视,http://live.mudu.tv/watch/hucgqx.m3u8
广西 Ⅰ 扶绥电视,http://live.mudu.tv:80/watch/5a6j4w.m3u8
广西 Ⅰ 隆林综合,http://live.mudu.tv/watch/eb2tu2.m3u8
广西 Ⅰ 上思综合,http://pgclive.mcloud.gxcatv.com/live/zb05.flv
吉林 Ⅰ 吉林都市,http://stream1.jlntv.cn/dspd/sd/live.m3u8
吉林 Ⅰ 吉林生活,http://stream1.jlntv.cn/shpd/sd/live.m3u8
吉林 Ⅰ 吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8
吉林 Ⅰ 吉林乡村,http://stream1.jlntv.cn/xcpd/sd/live.m3u8
吉林 Ⅰ 吉林公共,http://stream1.jlntv.cn/ggpd/sd/live.m3u8
吉林 Ⅰ 吉林七台,http://stream1.jlntv.cn/fzpd/sd/live.m3u8
云南 Ⅰ 云南娱乐,http://edge1.yntv.cn/channels/yntv/ynyl/m3u8:sd
云南 Ⅰ 楚雄公共,http://hwzbout.yunshicloud.com/gbqei5/12661u.m3u8
云南 Ⅰ 红河综合,http://file.hhtv.cc/cms/videos/nmip-media/channellive/channel1/playlist.m3u8
云南 Ⅰ 丽江公共,http://hwzbout.yunshicloud.com/mj1170/06qk26.m3u8
云南 Ⅰ 西双版纳1,http://file.xsbnrtv.cn/vms/videos/nmip-media/channellive/channel1/playlist.m3u8
云南 Ⅰ 西双版纳2,http://file.xsbnrtv.cn/vms/videos/nmip-media/channellive/channel3/playlist.m3u8
云南 Ⅰ 迪庆综合,http://stream01.dqtv123.com:1935/live/xinwenzonghe.stream/playlist.m3u8
云南 Ⅰ 普洱综合,http://hwzbout.yunshicloud.com/701aec/orx377.m3u8
云南 Ⅰ 麻栗坡台,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel18/playlist.m3u8
云南 Ⅰ 少儿频道,http://edge2.yntv.cn/channels/yntv/ynse/flv:sd/live
云南 Ⅰ 靖江新闻,http://visit.jjbctv.com:1935/live/xwzhmb/playlist.m3u8
云南 Ⅰ 文山综合,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
云南 Ⅰ 文山公共,http://tvdrs.wsrtv.com.cn:8100/channellive/ch2.flv
